PK,DataCompleta,DiaDaSemana,MesTxt,Ano,AnoMes,MesTxtAno,DiaDaSemanaNum,DiaDoMes,DiaDoAno,MesDoAno,SemanaDoAno
20100101,January 01 2010,Friday,January,2010,201001,Jan2010,6,1,1,1,1
20100102,January 02 2010,Saturday,January,2010,201001,Jan2010,7,2,2,1,1
20100103,January 03 2010,Sunday,January,2010,201001,Jan2010,1,3,3,1,2
20100104,January 04 2010,Monday,January,2010,201001,Jan2010,2,4,4,1,2
20100105,January 05 2010,Tuesday,January,2010,201001,Jan2010,3,5,5,1,2
20100106,January 06 2010,Wednesday,January,2010,201001,Jan2010,4,6,6,1,2
20100107,January 07 2010,Thursday,January,2010,201001,Jan2010,5,7,7,1,2
20100108,January 08 2010,Friday,January,2010,201001,Jan2010,6,8,8,1,2
20100109,January 09 2010,Saturday,January,2010,201001,Jan2010,7,9,9,1,2
20100110,January 10 2010,Sunday,January,2010,201001,Jan2010,1,10,10,1,3
20100111,January 11 2010,Monday,January,2010,201001,Jan2010,2,11,11,1,3
20100112,January 12 2010,Tuesday,January,2010,201001,Jan2010,3,12,12,1,3
20100113,January 13 2010,Wednesday,January,2010,201001,Jan2010,4,13,13,1,3
20100114,January 14 2010,Thursday,January,2010,201001,Jan2010,5,14,14,1,3
20100115,January 15 2010,Friday,January,2010,201001,Jan2010,6,15,15,1,3
20100116,January 16 2010,Saturday,January,2010,201001,Jan2010,7,16,16,1,3
20100117,January 17 2010,Sunday,January,2010,201001,Jan2010,1,17,17,1,4
20100118,January 18 2010,Monday,January,2010,201001,Jan2010,2,18,18,1,4
20100119,January 19 2010,Tuesday,January,2010,201001,Jan2010,3,19,19,1,4
20100120,January 20 2010,Wednesday,January,2010,201001,Jan2010,4,20,20,1,4
20100121,January 21 2010,Thursday,January,2010,201001,Jan2010,5,21,21,1,4
20100122,January 22 2010,Friday,January,2010,201001,Jan2010,6,22,22,1,4
20100123,January 23 2010,Saturday,January,2010,201001,Jan2010,7,23,23,1,4
20100124,January 24 2010,Sunday,January,2010,201001,Jan2010,1,24,24,1,5
20100125,January 25 2010,Monday,January,2010,201001,Jan2010,2,25,25,1,5
20100126,January 26 2010,Tuesday,January,2010,201001,Jan2010,3,26,26,1,5
20100127,January 27 2010,Wednesday,January,2010,201001,Jan2010,4,27,27,1,5
20100128,January 28 2010,Thursday,January,2010,201001,Jan2010,5,28,28,1,5
20100129,January 29 2010,Friday,January,2010,201001,Jan2010,6,29,29,1,5
20100130,January 30 2010,Saturday,January,2010,201001,Jan2010,7,30,30,1,5
20100131,January 31 2010,Sunday,January,2010,201001,Jan2010,1,31,31,1,6
20100201,February 01 2010,Monday,February,2010,201002,Feb2010,2,1,32,2,6
20100202,February 02 2010,Tuesday,February,2010,201002,Feb2010,3,2,33,2,6
20100203,February 03 2010,Wednesday,February,2010,201002,Feb2010,4,3,34,2,6
20100204,February 04 2010,Thursday,February,2010,201002,Feb2010,5,4,35,2,6
20100205,February 05 2010,Friday,February,2010,201002,Feb2010,6,5,36,2,6
20100206,February 06 2010,Saturday,February,2010,201002,Feb2010,7,6,37,2,6
20100207,February 07 2010,Sunday,February,2010,201002,Feb2010,1,7,38,2,7
20100208,February 08 2010,Monday,February,2010,201002,Feb2010,2,8,39,2,7
20100209,February 09 2010,Tuesday,February,2010,201002,Feb2010,3,9,40,2,7
20100210,February 10 2010,Wednesday,February,2010,201002,Feb2010,4,10,41,2,7
20100211,February 11 2010,Thursday,February,2010,201002,Feb2010,5,11,42,2,7
20100212,February 12 2010,Friday,February,2010,201002,Feb2010,6,12,43,2,7
20100213,February 13 2010,Saturday,February,2010,201002,Feb2010,7,13,44,2,7
20100214,February 14 2010,Sunday,February,2010,201002,Feb2010,1,14,45,2,8
20100215,February 15 2010,Monday,February,2010,201002,Feb2010,2,15,46,2,8
20100216,February 16 2010,Tuesday,February,2010,201002,Feb2010,3,16,47,2,8
20100217,February 17 2010,Wednesday,February,2010,201002,Feb2010,4,17,48,2,8
20100218,February 18 2010,Thursday,February,2010,201002,Feb2010,5,18,49,2,8
20100219,February 19 2010,Friday,February,2010,201002,Feb2010,6,19,50,2,8
20100220,February 20 2010,Saturday,February,2010,201002,Feb2010,7,20,51,2,8
20100221,February 21 2010,Sunday,February,2010,201002,Feb2010,1,21,52,2,9
20100222,February 22 2010,Monday,February,2010,201002,Feb2010,2,22,53,2,9
20100223,February 23 2010,Tuesday,February,2010,201002,Feb2010,3,23,54,2,9
20100224,February 24 2010,Wednesday,February,2010,201002,Feb2010,4,24,55,2,9
20100225,February 25 2010,Thursday,February,2010,201002,Feb2010,5,25,56,2,9
20100226,February 26 2010,Friday,February,2010,201002,Feb2010,6,26,57,2,9
20100227,February 27 2010,Saturday,February,2010,201002,Feb2010,7,27,58,2,9
20100228,February 28 2010,Sunday,February,2010,201002,Feb2010,1,28,59,2,10
20100301,March 01 2010,Monday,March,2010,201003,Mar2010,2,1,60,3,10
20100302,March 02 2010,Tuesday,March,2010,201003,Mar2010,3,2,61,3,10
20100303,March 03 2010,Wednesday,March,2010,201003,Mar2010,4,3,62,3,10
20100304,March 04 2010,Thursday,March,2010,201003,Mar2010,5,4,63,3,10
20100305,March 05 2010,Friday,March,2010,201003,Mar2010,6,5,64,3,10
20100306,March 06 2010,Saturday,March,2010,201003,Mar2010,7,6,65,3,10
20100307,March 07 2010,Sunday,March,2010,201003,Mar2010,1,7,66,3,11
20100308,March 08 2010,Monday,March,2010,201003,Mar2010,2,8,67,3,11
20100309,March 09 2010,Tuesday,March,2010,201003,Mar2010,3,9,68,3,11
20100310,March 10 2010,Wednesday,March,2010,201003,Mar2010,4,10,69,3,11
20100311,March 11 2010,Thursday,March,2010,201003,Mar2010,5,11,70,3,11
20100312,March 12 2010,Friday,March,2010,201003,Mar2010,6,12,71,3,11
20100313,March 13 2010,Saturday,March,2010,201003,Mar2010,7,13,72,3,11
20100314,March 14 2010,Sunday,March,2010,201003,Mar2010,1,14,73,3,12
20100315,March 15 2010,Monday,March,2010,201003,Mar2010,2,15,74,3,12
20100316,March 16 2010,Tuesday,March,2010,201003,Mar2010,3,16,75,3,12
20100317,March 17 2010,Wednesday,March,2010,201003,Mar2010,4,17,76,3,12
20100318,March 18 2010,Thursday,March,2010,201003,Mar2010,5,18,77,3,12
20100319,March 19 2010,Friday,March,2010,201003,Mar2010,6,19,78,3,12
20100320,March 20 2010,Saturday,March,2010,201003,Mar2010,7,20,79,3,12
20100321,March 21 2010,Sunday,March,2010,201003,Mar2010,1,21,80,3,13
20100322,March 22 2010,Monday,March,2010,201003,Mar2010,2,22,81,3,13
20100323,March 23 2010,Tuesday,March,2010,201003,Mar2010,3,23,82,3,13
20100324,March 24 2010,Wednesday,March,2010,201003,Mar2010,4,24,83,3,13
20100325,March 25 2010,Thursday,March,2010,201003,Mar2010,5,25,84,3,13
20100326,March 26 2010,Friday,March,2010,201003,Mar2010,6,26,85,3,13
20100327,March 27 2010,Saturday,March,2010,201003,Mar2010,7,27,86,3,13
20100328,March 28 2010,Sunday,March,2010,201003,Mar2010,1,28,87,3,14
20100329,March 29 2010,Monday,March,2010,201003,Mar2010,2,29,88,3,14
20100330,March 30 2010,Tuesday,March,2010,201003,Mar2010,3,30,89,3,14
20100331,March 31 2010,Wednesday,March,2010,201003,Mar2010,4,31,90,3,14
20100401,April 01 2010,Thursday,April,2010,201004,Apr2010,5,1,91,4,14
20100402,April 02 2010,Friday,April,2010,201004,Apr2010,6,2,92,4,14
20100403,April 03 2010,Saturday,April,2010,201004,Apr2010,7,3,93,4,14
20100404,April 04 2010,Sunday,April,2010,201004,Apr2010,1,4,94,4,15
20100405,April 05 2010,Monday,April,2010,201004,Apr2010,2,5,95,4,15
20100406,April 06 2010,Tuesday,April,2010,201004,Apr2010,3,6,96,4,15
20100407,April 07 2010,Wednesday,April,2010,201004,Apr2010,4,7,97,4,15
20100408,April 08 2010,Thursday,April,2010,201004,Apr2010,5,8,98,4,15
20100409,April 09 2010,Friday,April,2010,201004,Apr2010,6,9,99,4,15
20100410,April 10 2010,Saturday,April,2010,201004,Apr2010,7,10,100,4,15
20100411,April 11 2010,Sunday,April,2010,201004,Apr2010,1,11,101,4,16
20100412,April 12 2010,Monday,April,2010,201004,Apr2010,2,12,102,4,16
20100413,April 13 2010,Tuesday,April,2010,201004,Apr2010,3,13,103,4,16
20100414,April 14 2010,Wednesday,April,2010,201004,Apr2010,4,14,104,4,16
20100415,April 15 2010,Thursday,April,2010,201004,Apr2010,5,15,105,4,16
20100416,April 16 2010,Friday,April,2010,201004,Apr2010,6,16,106,4,16
20100417,April 17 2010,Saturday,April,2010,201004,Apr2010,7,17,107,4,16
20100418,April 18 2010,Sunday,April,2010,201004,Apr2010,1,18,108,4,17
20100419,April 19 2010,Monday,April,2010,201004,Apr2010,2,19,109,4,17
20100420,April 20 2010,Tuesday,April,2010,201004,Apr2010,3,20,110,4,17
20100421,April 21 2010,Wednesday,April,2010,201004,Apr2010,4,21,111,4,17
20100422,April 22 2010,Thursday,April,2010,201004,Apr2010,5,22,112,4,17
20100423,April 23 2010,Friday,April,2010,201004,Apr2010,6,23,113,4,17
20100424,April 24 2010,Saturday,April,2010,201004,Apr2010,7,24,114,4,17
20100425,April 25 2010,Sunday,April,2010,201004,Apr2010,1,25,115,4,18
20100426,April 26 2010,Monday,April,2010,201004,Apr2010,2,26,116,4,18
20100427,April 27 2010,Tuesday,April,2010,201004,Apr2010,3,27,117,4,18
20100428,April 28 2010,Wednesday,April,2010,201004,Apr2010,4,28,118,4,18
20100429,April 29 2010,Thursday,April,2010,201004,Apr2010,5,29,119,4,18
20100430,April 30 2010,Friday,April,2010,201004,Apr2010,6,30,120,4,18
20100501,May 01 2010,Saturday,May,2010,201005,May2010,7,1,121,5,18
20100502,May 02 2010,Sunday,May,2010,201005,May2010,1,2,122,5,19
20100503,May 03 2010,Monday,May,2010,201005,May2010,2,3,123,5,19
20100504,May 04 2010,Tuesday,May,2010,201005,May2010,3,4,124,5,19
20100505,May 05 2010,Wednesday,May,2010,201005,May2010,4,5,125,5,19
20100506,May 06 2010,Thursday,May,2010,201005,May2010,5,6,126,5,19
20100507,May 07 2010,Friday,May,2010,201005,May2010,6,7,127,5,19
20100508,May 08 2010,Saturday,May,2010,201005,May2010,7,8,128,5,19
