PK,vetCaractHar
1,4.361686 14.349301 13.943300 13.781088
2,4.139440 14.466641 14.053040 13.898384
3,1.554944 2.159588 1.641221 2.249076
4,1.532200 2.260882 1.602180 2.300917
5,1.667880 2.276725 1.653380 2.433057
6,2.077911 2.217355 0.573606 2.014921
7,2.482178 2.581681 0.479484 2.410782
8,1.912292 1.976509 0.327634 1.906543
9,2.827094 2.944222 0.809912 2.834998
10,2.973740 3.049342 0.851035 3.014489
11,3.262704 3.301523 0.760848 3.352653
12,1.518173 4.989150 4.386849 5.324519
13,1.501782 5.146305 4.573014 5.518607
14,1.523906 4.943938 4.456168 5.406981
15,1.668707 4.986880 4.460959 5.540800
16,1.978066 5.345046 4.464035 5.791724
17,3.800013 8.499300 6.096667 8.462917
18,3.443185 7.035830 4.450994 6.538974
19,3.109962 6.683316 4.679066 6.899740
20,2.578862 6.028708 4.524045 6.521496
21,2.823081 6.198363 5.043327 6.837921
22,3.023327 7.243783 6.199557 8.272858
23,3.265897 8.082022 6.884570 9.144119
24,2.812359 6.651549 5.762205 7.554681
25,2.943703 6.283884 5.415647 7.190971
26,3.187151 6.433103 5.532713 7.344594
27,3.438999 6.854448 5.868020 7.884468
28,3.855523 7.440009 6.262772 8.569517
29,4.408999 8.348068 6.862624 9.606710
30,4.229728 7.929565 6.473326 9.131729
31,3.563300 6.783025 5.480235 7.745347
32,3.113888 5.961943 4.753951 6.749940
33,2.943638 5.722335 4.589511 6.563193
34,3.109517 6.043983 4.849380 6.919781
35,3.481722 6.720300 5.467334 7.736543
36,3.337964 6.488637 5.366355 7.501706
37,2.985301 6.076172 5.061763 6.897330
38,2.885188 6.102641 5.158028 7.023474
39,3.073204 6.600304 5.573172 7.556863
40,3.769685 7.822333 6.499872 8.722625
41,4.696254 9.012013 7.531210 9.742021
42,4.803981 8.472222 7.217233 9.146073
43,4.932388 8.494199 7.301832 9.501361
44,4.235500 7.114507 6.015154 8.272428
45,3.817673 6.165444 5.197228 7.446710
46,3.650779 5.895461 5.020679 7.582854
47,3.119132 5.076535 4.371693 6.827725
48,2.677045 4.181205 3.829449 6.024788
49,2.154823 3.644093 3.217484 4.949233
50,0.488701 0.829414 0.533041 0.833897
51,0.694136 1.246239 0.837411 1.290796
52,0.760650 1.379246 0.921901 1.399101
53,0.682813 1.183151 0.793186 1.207148
54,0.854237 1.391773 0.874828 1.403546
